t	R	M_sup	M_inf	log_zeta_center	BC_bound	A_BC	actual_min_zeta	n_sampled
50	0.9	-4.264781490412402e-2	-6.553430008584629e-1	2.431665721975082e-1	inf	inf	5.192639240662383e-1	120001
50	1.2	7.230174922278675e-2	-1.053621558563977e0	2.431665721975082e-1	inf	inf	3.486727211281080e-1	120001
50	1.4	1.957101167772042e-1	-1.700025126641737e0	2.431665721975082e-1	inf	inf	1.826789338869425e-1	120001
100	0.9	4.301093298142411e-1	9.189005443384633e-2	1.756232337103336e-1	inf	inf	1.096244288255944e0	120001
100	1.2	6.445794544822675e-1	7.106205273995805e-2	1.756232337103336e-1	inf	inf	1.073647846591968e0	120001
100	1.4	8.527181417795380e-1	-9.631764325181261e-3	1.756232337103336e-1	inf	inf	9.904144725501900e-1	120001
200	0.9	9.587231248657712e-1	1.391988233988959e-1	3.868943868702478e-1	inf	inf	1.149352595477292e0	120001
200	1.2	1.302925396848355e0	5.451302003076237e-2	3.868943868702478e-1	inf	inf	1.056026225818162e0	120001
200	1.4	1.591289075343250e0	-2.617492592096962e-2	3.868943868702478e-1	inf	inf	9.741646680518750e-1	120001
500	0.9	3.624551979784549e-1	-1.677647891278466e-1	7.060514179761926e-2	inf	inf	8.455526944834697e-1	120001
500	1.2	5.855410266269923e-1	-2.725973092982438e-1	7.060514179761926e-2	inf	inf	7.613993343352978e-1	120001
500	1.4	8.484615924390309e-1	-7.682235195653855e-1	7.060514179761926e-2	inf	inf	4.638363330083567e-1	120001
1000	0.9	6.572999956658762e-2	-1.232867432817112e-1	4.116488452596791e-2	inf	inf	8.840101422456809e-1	120001
1000	1.2	2.714617644534030e-1	-3.243458487323391e-1	4.116488452596791e-2	inf	inf	7.230001504498327e-1	120001
1000	1.4	5.564674465823757e-1	-9.707824615352678e-1	4.116488452596791e-2	inf	inf	3.787865362231963e-1	120001
2000	0.9	-3.306506000604830e-2	-5.598149485739887e-1	2.361011651704270e-1	inf	inf	5.713147766814842e-1	120001
2000	1.2	6.824495686745777e-2	-8.497044044480031e-1	2.361011651704270e-1	inf	inf	4.275412925763674e-1	120001
2000	1.4	1.695859150084116e-1	-1.351334173752217e0	2.361011651704270e-1	inf	inf	2.588946197184171e-1	120001
5000	0.9	-1.120692658752227e-1	-4.815737003037642e-1	2.167427822724308e-1	inf	inf	6.178103780113519e-1	120001
5000	1.2	-8.752661826198896e-2	-7.287174719809808e-1	2.167427822724308e-1	inf	inf	4.825274483828808e-1	120001
5000	1.4	-7.008047285151120e-2	-1.276540988946581e0	2.167427822724308e-1	inf	inf	2.790006997926367e-1	120001
10000	0.9	2.262537076554899e-1	-4.789046196335809e-1	4.309632512310686e-2	inf	inf	6.194615663463202e-1	120001
10000	1.2	4.266566994047697e-1	-8.647639790907343e-1	4.309632512310686e-2	inf	inf	4.211509413260641e-1	120001
10000	1.4	7.627149090246391e-1	-1.339086425360728e0	4.309632512310686e-2	inf	inf	2.620849934464629e-1	120001
