N	M	sum_log	bound_log	ratio_log	sum_log1	bound_log1	ratio_log1
2	2000	8.699558495136277e0	1.578580256156374e1	0.5511001713	1.127611998068927e1	1.914938822257860e1	0.5888501423
3	3000	8.870955578366058e0	1.549643025692708e1	0.5724515538	1.125188309121416e1	1.853577299953345e1	0.6070360859
5	5000	8.945541038707125e0	1.500502888122994e1	0.5961695315	1.108073038432198e1	1.767999010113563e1	0.6267384948
10	10000	8.828863815758112e0	1.417681621327684e1	0.6227677416	1.065070211221017e1	1.642618151403824e1	0.6483979313
20	20000	8.520629353082915e0	1.323231019309279e1	0.6439260589	1.006405744306248e1	1.512379341109914e1	0.6654453132
50	50000	7.922702485698104e0	1.190159127471352e1	0.6656843024	9.155703335002370e0	1.340583251194807e1	0.6829641745
100	100000	7.388085708966359e0	1.088477497643885e1	0.6787541061	8.426482679296649e0	1.214968604050620e1	0.6935555908
200	100000	6.397301094048363e0	9.890240619800950e0	0.6468296718	7.235359930028515e0	1.095389979918995e1	0.6605282194
500	100000	5.149772315634218e0	8.640506456463113e0	0.5960035261	5.770521691342147e0	9.486403467215563e0	0.6082939347
1000	100000	4.268780177802710e0	7.758814648942920e0	0.5501845799	4.755066797465457e0	8.470126412958489e0	0.5613926600
2000	100000	3.449253629725345e0	6.938958141577005e0	0.4970852337	3.822419513482377e0	7.537097654065493e0	0.5071474046
5000	100000	2.464692409665202e0	5.954214081238323e0	0.4139408453	2.715427115184580e0	6.429896927239411e0	0.4223126974
10000	100000	1.794669709635108e0	5.284136148790473e0	0.3396335104	1.969728460833212e0	5.684136148790473e0	0.3465308376
